,pca_m0,proba
505,-0.009899999999999999,0.94841754
506,-0.00988,0.94804007
507,-0.009859999999999999,0.94765985
508,-0.00984,0.94727695
509,-0.009819999999999999,0.94689137
510,-0.0098,0.94650304
511,-0.009779999999999999,0.94611186
512,-0.00976,0.945718
513,-0.00974,0.94532126
514,-0.00972,0.94492185
515,-0.0097,0.9445195
516,-0.00968,0.9441143
517,-0.00966,0.9437062
518,-0.00964,0.94329524
519,-0.00962,0.9428813
520,-0.0096,0.9424646
521,-0.00958,0.9420448
522,-0.009559999999999999,0.9416221
523,-0.00954,0.9411964
524,-0.009519999999999999,0.94076765
525,-0.0095,0.94033587
526,-0.009479999999999999,0.939901
527,-0.00946,0.93946314
528,-0.009439999999999999,0.9390222
529,-0.00942,0.9385781
530,-0.0094,0.93813086
531,-0.00938,0.9376805
532,-0.00936,0.937227
533,-0.00934,0.93677014
534,-0.00932,0.9363103
535,-0.0093,0.93584704
536,-0.00928,0.9353807
537,-0.00926,0.93491083
538,-0.00924,0.9344379
539,-0.009219999999999999,0.93396163
540,-0.0092,0.9334819
541,-0.009179999999999999,0.9329987
542,-0.00916,0.93251234
543,-0.009139999999999999,0.9320225
544,-0.00912,0.9315292
545,-0.009099999999999999,0.93103254
546,-0.00908,0.9305324
547,-0.00906,0.9300286
548,-0.00904,0.9295214
549,-0.00902,0.92901057
550,-0.009,0.92849624
551,-0.00898,0.9279784
552,-0.00896,0.9274568
553,-0.00894,0.9269317
554,-0.008919999999999999,0.92640287
555,-0.0089,0.92587036
556,-0.008879999999999999,0.9253342
557,-0.00886,0.92479426
558,-0.008839999999999999,0.9242506
559,-0.00882,0.92370313
560,-0.008799999999999999,0.92315185
561,-0.00878,0.9225967
562,-0.008759999999999999,0.9220378
563,-0.00874,0.921475
564,-0.00872,0.92090833
565,-0.0087,0.9203378
566,-0.00868,0.9197631
567,-0.00866,0.9191845
568,-0.00864,0.9186021
569,-0.00862,0.91801554
570,-0.0086,0.9174249
571,-0.008579999999999999,0.91683024
572,-0.00856,0.91623145
573,-0.008539999999999999,0.9156286
574,-0.00852,0.91502154
575,-0.008499999999999999,0.9144104
576,-0.00848,0.913795
577,-0.008459999999999999,0.9131753
578,-0.00844,0.91255134
